m_bene,s_bene,genere,regione,provincia,comune,indirizzo,ufficio,distretto,procedura,fascicolo_tipo,categoria,sottocategoria,tipologia,destinatario,fine,utilizzo,decreto_numero,decreto_anno,decreto_data
A-PA-141542,A-PA-32802-S,aziende,Sicilia,Palermo,Misilmeri,"VIALE EUROPA 40,",Tribunale,PALERMO,82/2001,Prevenzione,Società a responsabilità limitata,Costruzioni,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,83,2001,07/05/2001
A-PA-142203,A-PA-41113-S,aziende,Sicilia,Palermo,San Giuseppe Jato,"VIA PORTELLA DELLA GINESTRA,",Tribunale,PALERMO,245/1993,Prevenzione,Società a responsabilità limitata,"Commercio ingrosso-dettaglio, riparazione veicoli, beni personali, casa",Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,85,2007,09/03/2007
A-PA-144586,A-PA-43446-S,aziende,Sicilia,Palermo,Bolognetta,"VIA KENNEDY 3,",Tribunale,PALERMO,72/2001,Prevenzione,Società a responsabilità limitata,Costruzioni,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,171,2002,01/08/2002
A-PA-147993,A-PA-44750-S,aziende,Sicilia,Palermo,Palermo,"VIA VENETO N. 3 - PALERMO,",Tribunale,PALERMO,92/1994,Prevenzione,Società a responsabilità limitata,"Agricoltura, caccia e silvicoltura",Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,92,2006,22/06/2006
A-PA-149140,A-PA-44754-S,aziende,Sicilia,Palermo,Palermo,"VIA VENETO 39,",Tribunale,PALERMO,92/1994,Prevenzione,Società a responsabilità limitata,Costruzioni,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,58,1997,20/11/1997
A-PA-149143,A-PA-44755-S,aziende,Sicilia,Palermo,Palermo,"VIA VENETO 39,",Tribunale,PALERMO,92/1994,Prevenzione,Società per azioni,Costruzioni,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,14,1995,31/05/1995
A-PA-150249,A-PA-55132-S,aziende,Sicilia,Palermo,Palermo,VIA VENETO N. 39,Tribunale,Palermo,92/1994,Prevenzione,Società a responsabilità limitata,"Agricoltura, caccia e silvicoltura",Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,50264,2018,16/11/2018
A-PA-150263,A-PA-44759-S,aziende,Sicilia,Palermo,Palermo,"VIA VENETO N. 39,",Tribunale,PALERMO,92/1994,Prevenzione,Società a responsabilità limitata,Costruzioni,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,102,2001,18/06/2001
A-PA-150273,A-PA-31402-S,aziende,Sicilia,Palermo,Palermo,VIA CATANIA N. 146,Tribunale,Palermo,125/1998,Prevenzione,Società a responsabilità limitata,"Attività immobiliari, noleggio, informatica, ricerca, servizi alle imprese",Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,30526,2013,03/12/2013
A-PA-150304,,aziende,Sicilia,Palermo,Palermo,"VIA NICOLÒ GARZILLI 31/E,",Tribunale,PALERMO,7/1996,Prevenzione,Società a responsabilità limitata,"Commercio ingrosso-dettaglio, riparazione veicoli, beni personali, casa",Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,65,1999,26/05/1999
A-PA-150336,,aziende,Sicilia,Palermo,Palermo,"VIA ROMA 443,",Tribunale,PALERMO,363/1992,,Società a responsabilità limitata,"Altri servizi pubblici, sociali e personali",Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,552,2008,18/12/2008
A-PA-150362,A-PA-49059-S,aziende,Sicilia,Palermo,Palermo,"VIA MARIANO STABILE 42 CAP 90139,",Tribunale,PALERMO,9/1993,Prevenzione,Società a responsabilità limitata,Costruzioni,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,8,1997,05/02/1997
A-PA-150369,A-PA-49060-S,aziende,Sicilia,Palermo,Palermo,VIA CASAL DEL SOLE 23 CAP 90136,Tribunale,Palermo,9/1993,Prevenzione,Società in accomandita semplice,Costruzioni,Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,6152,2013,21/03/2013
A-PA-150421,,aziende,Sicilia,Palermo,Palermo,"PIAZZA STAZIONE SAN LORENZO 6 CAP 90146,",Tribunale,PALERMO,3/1986,,Società a responsabilità limitata,"Trasporti, magazzinaggio e comunicazioni",Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,7,1986,03/10/1986
A-PA-150437,A-PA-39027-S,aziende,Sicilia,Palermo,Palermo,"VUA AMM. PAOLO THAON DE REVEL 10/A CAP 90142,",Tribunale,PALERMO,149/1983,Prevenzione,Società a responsabilità limitata,Attività manifatturiere,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,2,1986,29/04/1986
A-PA-150449,A-PA-19052-S,aziende,Sicilia,Palermo,Palermo,VIA TERENZIO 29 CAP 90100,Tribunale,Palermo,122/2003,Prevenzione,Società a responsabilità limitata,Costruzioni,Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,48050,2019,13/11/2019
A-PA-150512,,aziende,Sicilia,Palermo,Partinico,"VIA GALLO 18,",Tribunale,PALERMO,363/1992,,Società a responsabilità limitata,Alberghi e ristoranti,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,25,1996,19/07/1996
A-PA-150664,A-PA-21162-S,aziende,Sicilia,Palermo,Palermo,"VIA P. D'ASARO, 3,",Tribunale,PALERMO,80/2001,Prevenzione,Società in nome collettivo,"Attività immobiliari, noleggio, informatica, ricerca, servizi alle imprese",Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,534,2008,12/12/2008
A-PA-150669,A-PA-21163-S,aziende,Sicilia,Palermo,Palermo,"VIA P. D'ASARO N. 3,",Tribunale,PALERMO,80/2001,Prevenzione,Società a responsabilità limitata,"Attività immobiliari, noleggio, informatica, ricerca, servizi alle imprese",Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,531,2008,12/12/2008
A-PA-152251,A-PA-22106-S,aziende,Sicilia,Palermo,Palermo,"VIA FRANCESCO MARIA ALIAS N. 20,",Tribunale,PALERMO,64/2001,Prevenzione,Società a responsabilità limitata,Costruzioni,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,239,2008,20/05/2008
A-PA-154469,A-PA-33556-S,aziende,Sicilia,Palermo,Palermo,"VIA CIMABUE N. 41,",Tribunale,PALERMO,100/1993,Prevenzione,Impresa individuale,Costruzioni,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,44719,2015,26/11/2015
A-PA-155386,A-PA-39166-S,aziende,Sicilia,Palermo,Trabia,"CORSO LA MASA N° 88,",Tribunale,PALERMO,63/1997,Prevenzione,Società a responsabilità limitata,Costruzioni,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,372,2009,04/08/2009
A-PA-156393,A-PA-39552-S,aziende,Sicilia,Palermo,Balestrate,"VIA ROMA 93,",Tribunale,PALERMO,202/2001,Prevenzione,Società in accomandita semplice,"Commercio ingrosso-dettaglio, riparazione veicoli, beni personali, casa",Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,294,2007,08/10/2007
A-PA-156459,A-PA-6560-S,aziende,Sicilia,Palermo,Villabate,"CORTILE VACCARO N. 33,",Tribunale,PALERMO,130/2002,Prevenzione,Impresa individuale,Costruzioni,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,28285,2016,23/06/2016
A-PA-156463,A-PA-6561-S,aziende,Sicilia,Palermo,Villabate,"CORTILE VACCARO N. 33,",Tribunale,PALERMO,130/2002,Prevenzione,Società in accomandita semplice,"Commercio ingrosso-dettaglio, riparazione veicoli, beni personali, casa",Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,357,2009,03/08/2009
A-PA-156794,A-PA-27956-S,aziende,Sicilia,Palermo,Palermo,"VIA LO IACONO 47/49/51,",Tribunale,PALERMO,143/2002,Prevenzione,Altro,"Commercio ingrosso-dettaglio, riparazione veicoli, beni personali, casa",Vendita,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,145,2007,28/05/2007
A-PA-158230,A-PA-40461-S,aziende,Sicilia,Palermo,Palermo,"VIA MESSINA 7/D CAP 90141,",Tribunale,PALERMO,352/1992,Prevenzione,Società a responsabilità limitata,Costruzioni,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,14,1994,29/06/1994
A-PA-158654,A-PA-33104-S,aziende,Sicilia,Palermo,Palermo,"VIA MARCHESE UGO N. 60,",Tribunale,PALERMO,99/1993,Prevenzione,Società a responsabilità limitata,Costruzioni,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,30626,2013,04/12/2013
A-PA-158660,A-PA-33105-S,aziende,Sicilia,Palermo,Palermo,"VIA CIMABUE N. 41,",Tribunale,PALERMO,99/1993,Prevenzione,Società a responsabilità limitata,Costruzioni,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,71,1998,01/10/1998
A-PA-158668,A-PA-33106-S,aziende,Sicilia,Palermo,Palermo,"VIA CIMABUE N. 41,",Tribunale,PALERMO,99/1993,Prevenzione,Società a responsabilità limitata,Costruzioni,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,70,1998,01/10/1998
A-PA-158693,A-PA-33107-S,aziende,Sicilia,Palermo,Palermo,"VIA G.L. BERNINI N. 129,",Tribunale,PALERMO,99/1993,Prevenzione,Società a responsabilità limitata,Costruzioni,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,30638,2013,04/12/2013
A-PA-158699,A-PA-33108-S,aziende,Sicilia,Palermo,Palermo,"VIA CIMABUE 41,",Tribunale,PALERMO,99/1993,Prevenzione,Società in accomandita semplice,Costruzioni,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,17669,2013,25/07/2013
A-PA-158749,A-PA-33112-S,aziende,Sicilia,Palermo,Palermo,"VIA CIMABUE N. 41,",Tribunale,PALERMO,99/1993,Prevenzione,Impresa individuale,Costruzioni,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,44695,2015,26/11/2015
A-PA-158770,A-PA-33115-S,aziende,Sicilia,Palermo,Palermo,"VIA CIMABUE N. 41,",Tribunale,PALERMO,99/1993,Prevenzione,Società a responsabilità limitata,Costruzioni,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,12,1996,12/04/1996
A-PA-158776,A-PA-33116-S,aziende,Sicilia,Palermo,Palermo,"VIA CIMABUE N. 41,",Tribunale,PALERMO,99/1993,Prevenzione,Società in nome collettivo,"Agricoltura, caccia e silvicoltura",Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,26781,2016,15/06/2016
A-PA-158794,A-PA-33118-S,aziende,Sicilia,Palermo,Palermo,"VIA G.L. BERNINI N. 129,",Tribunale,PALERMO,99/1993,Prevenzione,Società a responsabilità limitata,Costruzioni,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,4,1991,10/04/1991
A-PA-158805,A-PA-33120-S,aziende,Sicilia,Palermo,Palermo,"VIA CIMABUE N. 41,",Tribunale,PALERMO,99/1993,Prevenzione,Impresa individuale,Costruzioni,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,44719,2015,26/11/2015
A-PA-163442,,aziende,Sicilia,Palermo,Palermo,"C.DA REGIA CORTE 1427 (OGGI CORSO DEI MILLE 990),",Tribunale,PALERMO,20/1986,,Società a responsabilità limitata,Costruzioni,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,4,1993,09/02/1993
A-PA-174473,A-PA-18523-S,aziende,Sicilia,Palermo,Monreale,"PIAZZA FEDELE N. 1,",Procura della Repubblica,PALERMO,11480/2004,Penale,Impresa individuale,"Commercio ingrosso-dettaglio, riparazione veicoli, beni personali, casa",Vendita,Altro,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,17583,2013,24/07/2013
A-PA-175692,A-PA-31474-S,aziende,Sicilia,Palermo,Palermo,VIA SPADAFORA,Tribunale,Palermo,125/1998,Prevenzione,Società a responsabilità limitata,Costruzioni,Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,18267,2015,19/05/2015
A-PA-175711,A-PA-31475-S,aziende,Sicilia,Palermo,Palermo,VIA SPADAFORA,Tribunale,Palermo,125/1998,Prevenzione,Altro,Estrazione di minerali,Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,18259,2015,19/05/2015
A-PA-175718,A-PA-31476-S,aziende,Sicilia,Palermo,Palermo,"VIA CASTELLANA FONDO SPATAFORA,",Tribunale,PALERMO,125/1998,Prevenzione,Società a responsabilità limitata,Costruzioni,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,154,2005,27/09/2005
A-PA-176062,A-PA-31507-S,aziende,Sicilia,Palermo,Palermo,"VIA VINCENZO DI MARCO N. 51,",Tribunale,PALERMO,125/1998,Prevenzione,Società a responsabilità limitata,Costruzioni,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,78,1999,27/07/1999
A-PA-176919,A-PA-24696-S,aziende,Sicilia,Palermo,Palermo,"VIA VILLA MALTA 3 A,",Procura della Repubblica,PALERMO,14/2003,Penale,Impresa individuale,"Trasporti, magazzinaggio e comunicazioni",Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,26694,2016,15/06/2016
A-PA-177104,A-PA-49277-S,aziende,Sicilia,Palermo,Bagheria,"VIA CIMAROSA N. 5,",Corte d'Appello,PALERMO,1/2002,Prevenzione,Società a responsabilità limitata,Costruzioni,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,6148,2013,21/03/2013
A-PA-179527,A-PA-19894-S,aziende,Sicilia,Palermo,Borgetto,VIA VECCHIA N. 6,Corte di Appello,Palermo,91/2001,Prevenzione,Società a responsabilità limitata,Costruzioni,Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,44677,2019,23/10/2019
A-PA-179651,A-PA-22321-S,aziende,Sicilia,Palermo,Palermo,"VIA UDITORE N. 12/G,",Procura della Repubblica,PALERMO,969/1998,Penale,Società a responsabilità limitata,Costruzioni,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,235,2004,29/09/2004
A-PA-179654,A-PA-22322-S,aziende,Sicilia,Palermo,Palermo,"VIA TOMMASO NATALE N. 91,",Procura della Repubblica,PALERMO,969/1998,Penale,Società a responsabilità limitata,Alberghi e ristoranti,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,253,2003,15/12/2003
A-PA-180114,A-PA-19043-S,aziende,Sicilia,Palermo,Palermo,"VIA REGIONE SICILIANA 4489,",Tribunale,PALERMO,25/2002,Prevenzione,Società a responsabilità limitata,"Commercio ingrosso-dettaglio, riparazione veicoli, beni personali, casa",Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,47587,2015,14/12/2015
A-PA-180122,A-PA-19044-S,aziende,Sicilia,Palermo,Palermo,"VIALE REGIONE SICILIANA 4563,",Tribunale,PALERMO,25/2002,Prevenzione,Società a responsabilità limitata,Costruzioni,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,47581,2015,14/12/2015
A-PA-181830,A-PA-19936-S,aziende,Sicilia,Palermo,Borgetto,"VIA C. COLOMBO SNC,",Corte d'Appello,PALERMO,91/2001,Prevenzione,Società a responsabilità limitata,Costruzioni,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,532,2008,12/12/2008
A-PA-183063,A-PA-34759-S,aziende,Sicilia,Palermo,Palermo,VIA COLLEGIO DI MARIA AL CARMINE 17,Tribunale,Palermo,117/2003,Prevenzione,Società in accomandita semplice,"Commercio ingrosso-dettaglio, riparazione veicoli, beni personali, casa",Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,25020,2018,01/06/2018
A-PA-184482,,aziende,Sicilia,Palermo,Villabate,"VIA BELVEDERE N. 43,",Tribunale,BOLOGNA,6/2003,Prevenzione,Società a responsabilità limitata,Costruzioni,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,18246,2015,19/05/2015
A-PA-184482,,aziende,Sicilia,Palermo,Villabate,"VIA BELVEDERE N. 43,",Tribunale,BOLOGNA,6/2003,Penale,Società a responsabilità limitata,Costruzioni,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,18246,2015,19/05/2015
A-PA-184640,,aziende,Sicilia,Palermo,Misilmeri,"SS 121 AL KM 245,95,",Tribunale,BOLOGNA,6/2003,Prevenzione,Società a responsabilità limitata,Costruzioni,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,18229,2015,19/05/2015
A-PA-184640,,aziende,Sicilia,Palermo,Misilmeri,"SS 121 AL KM 245,95,",Tribunale,BOLOGNA,6/2003,Penale,Società a responsabilità limitata,Costruzioni,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,18229,2015,19/05/2015
A-PA-188201,A-PA-18978-S,aziende,Sicilia,Palermo,Palermo,"VIA NOTARBARTOLO ANGOLO P.ZA OTTAVIO ZIINO,",Tribunale,PALERMO,247/2004,Prevenzione,Impresa individuale,"Commercio ingrosso-dettaglio, riparazione veicoli, beni personali, casa",Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,15951,2013,08/07/2013
A-PA-190583,,aziende,Sicilia,Palermo,Villabate,"VIA BELVEDERE 41,",Tribunale,BOLOGNA,6/2003,Prevenzione,Società a responsabilità limitata,Alberghi e ristoranti,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,18244,2015,19/05/2015
A-PA-190583,,aziende,Sicilia,Palermo,Villabate,"VIA BELVEDERE 41,",Tribunale,BOLOGNA,6/2003,Penale,Società a responsabilità limitata,Alberghi e ristoranti,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,18244,2015,19/05/2015
A-PA-191418,A-PA-18274-S,aziende,Sicilia,Palermo,Palermo,VIA RESUTTANA COLLI N. 414,Procura della Repubblica,Palermo,5275/1996,Penale,Società a responsabilità limitata,Costruzioni,Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,30542,2013,03/12/2013
A-PA-191423,A-PA-18275-S,aziende,Sicilia,Palermo,Palermo,VIA DEL BERSAGLIERE N. 77,Procura della Repubblica,Palermo,5275/1996,Penale,Società a responsabilità limitata,Costruzioni,Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,30581,2013,03/12/2013
A-PA-191428,A-PA-18276-S,aziende,Sicilia,Palermo,Palermo,VIA DEL BERSAGLIERE N. 77,Procura della Repubblica,Palermo,5275/1996,Penale,Società a responsabilità limitata,Costruzioni,Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,30575,2013,03/12/2013
A-PA-191434,A-PA-18277-S,aziende,Sicilia,Palermo,Palermo,VIA RESUTTANA 414,Procura della Repubblica,Palermo,5275/1996,Penale,Società a responsabilità limitata,Costruzioni,Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,30561,2013,03/12/2013
A-PA-191439,A-PA-18278-S,aziende,Sicilia,Palermo,Palermo,VIA DEL BERSAGLIERE N. 77,Procura della Repubblica,Palermo,5275/1996,Penale,Società a responsabilità limitata,Costruzioni,Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,30535,2013,03/12/2013
A-PA-191444,A-PA-18279-S,aziende,Sicilia,Palermo,Palermo,VIA RESUTTANA N. 414,Procura della Repubblica,Palermo,5275/1996,Penale,Società a responsabilità limitata,"Attività immobiliari, noleggio, informatica, ricerca, servizi alle imprese",Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,30532,2013,03/12/2013
A-PA-191456,A-PA-18281-S,aziende,Sicilia,Palermo,Palermo,VIA DEL BERSAGLIERE N. 77,Procura della Repubblica,Palermo,5275/1996,Penale,Società a responsabilità limitata,Costruzioni,Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,30584,2013,03/12/2013
A-PA-191462,A-PA-18282-S,aziende,Sicilia,Palermo,Palermo,VIA DEL BERSAGLIERE N. 75,Procura della Repubblica,Palermo,5275/1996,Penale,Società a responsabilità limitata,Attività manifatturiere,Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,48141,2019,13/11/2019
A-PA-197774,A-PA-22870-S,aziende,Sicilia,Palermo,Palermo,"VIALE STRASBURGO NN. 123-125,",Tribunale,PALERMO,46/2000,Prevenzione,Società in nome collettivo,"Commercio ingrosso-dettaglio, riparazione veicoli, beni personali, casa",Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,44759,2015,26/12/2015
A-PA-197784,A-PA-22872-S,aziende,Sicilia,Palermo,Palermo,"PIAZZA CASTELNUOVO 10-11,",Tribunale,PALERMO,46/2000,Prevenzione,Società in accomandita semplice,"Commercio ingrosso-dettaglio, riparazione veicoli, beni personali, casa",Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,44756,2015,26/11/2015
A-PA-201760,A-PA-48287-S,aziende,Sicilia,Palermo,Palermo,VIALE REGIONE SICILIANA N. 3578,Tribunale,Palermo,93/2004,Prevenzione,Impresa individuale,Attività manifatturiere,Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,50779,2019,28/11/2019
A-PA-202465,A-PA-24581-S,aziende,Sicilia,Palermo,Altofonte,"VIA POGGIO SAN FRANCESCO N. 25,",Tribunale,PALERMO,60/2003,Penale,Altro,Costruzioni,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,26765,2016,15/06/2016
A-PA-203186,A-PA-39508-S,aziende,Sicilia,Palermo,Palermo,"VIA MAQUEDA N. 359,",Tribunale,PALERMO,206/2003,Prevenzione,Società in accomandita semplice,"Commercio ingrosso-dettaglio, riparazione veicoli, beni personali, casa",Vendita,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,184,2007,16/07/2007
A-PA-20397,A-PA-41169-S,aziende,Sicilia,Palermo,Palermo,"VIA BARCARELLO N. 53 PIANO SCANTINATO - 90148,",Tribunale,PALERMO,54/1999,Prevenzione,Società a responsabilità limitata,"Commercio ingrosso-dettaglio, riparazione veicoli, beni personali, casa",Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,422,2007,12/12/2007
A-PA-20407,A-PA-41172-S,aziende,Sicilia,Palermo,Palermo,"VIA RESURREZIONE N. 108,",Tribunale,PALERMO,54/1999,Prevenzione,Società a responsabilità limitata,"Commercio ingrosso-dettaglio, riparazione veicoli, beni personali, casa",Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,46032,2015,31/12/2015
A-PA-204190,A-PA-75303-S,aziende,Sicilia,Palermo,Cinisi,C.DA POZZILLO MARINA DI CINISI,Tribunale,Palermo,116/2002,Prevenzione,Società a responsabilità limitata,"Trasporti, magazzinaggio e comunicazioni",Vendita,Altro,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,10278,2013,09/05/2013
A-PA-204190,A-PA-75303-S,aziende,Sicilia,Palermo,Cinisi,C.DA POZZILLO MARINA DI CINISI,Tribunale,Palermo,116/2002,Prevenzione,Società a responsabilità limitata,"Trasporti, magazzinaggio e comunicazioni",Vendita,Altro,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,10278,2013,09/05/2013
A-PA-20523,,aziende,Sicilia,Palermo,Terrasini,"VIA DELLE RIMEMBRANZE N. 8,",Tribunale,PALERMO,12/1986,,Società a responsabilità limitata,Estrazione di minerali,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,8,1985,22/11/1985
A-PA-20628,A-PA-34058-S,aziende,Sicilia,Palermo,Capaci,"VIA FLORIO 8,",Tribunale,PALERMO,11/1997,Prevenzione,Società a responsabilità limitata,"Trasporti, magazzinaggio e comunicazioni",Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,436,2007,21/12/2007
A-PA-206994,A-PA-5255-S,aziende,Sicilia,Palermo,Collesano,C.DA GARBINOGARA,Tribunale,Palermo,172/2002,Prevenzione,Società a responsabilità limitata,"Agricoltura, caccia e silvicoltura",Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,50772,2019,28/11/2019
A-PA-20813,,aziende,Sicilia,Palermo,Palermo,"VIA GIOACCHINO DI MARZO N. 9,",Tribunale,PALERMO,26/1995,Prevenzione,Società a responsabilità limitata,"Trasporti, magazzinaggio e comunicazioni",Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,4,1989,29/06/1989
A-PA-21248,A-PA-23559-S,aziende,Sicilia,Palermo,Palermo,"VIA A. UGO N.57/A,",Tribunale,PALERMO,239/1995,Prevenzione,Società a responsabilità limitata,Costruzioni,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,13,1995,30/05/1995
A-PA-21289,A-PA-23571-S,aziende,Sicilia,Palermo,Palermo,VIA A. UGO N.57,Tribunale,Palermo,239/1995,Prevenzione,Società a responsabilità limitata,Costruzioni,Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,26657,2016,15/06/2016
A-PA-217785,A-PA-30546-S,aziende,Sicilia,Palermo,Palermo,"VIA S 90 N. 64,",Tribunale,PALERMO,91/1996,Prevenzione,Società a responsabilità limitata,Costruzioni,Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,18265,2015,19/05/2015
A-PA-217931,A-PA-30574-S,aziende,Sicilia,Palermo,Palermo,"VIA GIACOMO SERPOTTA N. 7,",Tribunale,PALERMO,91/1996,Prevenzione,Società a responsabilità limitata,"Commercio ingrosso-dettaglio, riparazione veicoli, beni personali, casa",Liquidazione,,,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,108,2001,27/06/2001
A-PA-21858,A-PA-18941-S,aziende,Sicilia,Palermo,Partinico,VIA ROMA N. 228,Tribunale,Palermo,127/1997,Prevenzione,Società per azioni,"Commercio ingrosso-dettaglio, riparazione veicoli, beni personali, casa",Liquidazione,Nessuno,Nessuna,BENE NON SOGGETTO A VERIFICA EX ART. 48 C.A.,44653,2019,23/10/2019
